Status Kahwin,Pendidikan Tertinggi,Pekerjaan (1 digit),2 Kereta,3 atau lebih Kereta,Penghawa Dingin,Komputer Riba,Telefon Bimbit,Saluran TV Berbayar,Langganan Internet,Penapis Air,Pemilikan Kediaman,Status Pemilikan,Bilangan Isi Rumah dalam Kediaman,Jumlah Pendapatan Isi Rumah,Gaji,cluster_label
2,30,3,0,0,0,0,1,0,0,0,1,1,1,4310,3054,2
0,90,0,0,0,1,0,0,1,0,0,1,1,1,22157,0,0
0,90,0,0,0,1,0,0,1,0,0,1,1,1,22157,0,0
3,90,9,0,0,1,0,0,1,0,0,1,1,1,22157,1256,0
3,90,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
2,30,9,0,0,0,0,1,1,0,0,1,1,1,1256,1256,1
2,30,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,0,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,90,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,0,5,0,0,0,0,0,0,0,0,9,1,1,6516,1629,0
2,10,0,0,0,1,0,0,1,0,0,1,1,1,6967,0,0
2,10,0,0,0,1,0,0,1,0,0,1,1,1,6967,0,0
2,10,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
2,90,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
2,30,8,0,0,0,0,1,0,0,0,1,1,1,1662,1662,1
2,10,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
1,70,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
0,90,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
2,90,9,0,0,0,0,1,0,0,0,2,2,1,1256,1256,1
1,30,0,0,0,0,0,1,0,0,0,2,2,1,1256,0,1
1,30,0,0,0,0,0,1,0,0,0,2,2,1,1256,0,1
1,20,0,0,0,0,0,1,0,0,0,2,2,1,1256,0,1
0,10,0,0,0,0,0,1,0,0,0,2,2,1,1256,0,1
0,10,0,0,0,0,0,1,0,0,0,2,2,1,1256,0,1
2,10,8,0,0,0,0,0,0,0,0,2,1,1,1662,1662,1
2,20,0,0,0,0,0,0,0,0,0,2,1,1,1662,0,1
1,20,0,0,0,0,0,0,0,0,0,2,1,1,1662,0,1
1,30,0,0,0,0,0,0,0,0,0,2,1,1,1662,0,1
1,10,0,0,0,0,0,0,0,0,0,2,1,1,1662,0,1
1,10,0,0,0,0,0,0,0,0,0,1,1,1,6967,0,0
1,10,0,0,0,0,0,0,0,0,0,1,1,1,6967,0,0
1,10,0,0,0,0,0,0,0,0,0,1,1,1,6967,0,0
1,10,0,0,0,0,0,0,0,0,0,1,1,1,6967,0,0
2,30,3,0,0,0,0,1,1,0,1,1,1,1,5163,3054,2
2,30,4,0,0,0,0,1,1,0,1,1,1,1,5163,2109,2
1,10,0,0,0,0,0,1,1,0,1,1,1,1,5163,0,2
0,10,0,0,0,0,0,1,1,0,1,1,1,1,5163,0,2
2,10,6,1,0,1,0,0,1,0,0,1,1,1,1562,1562,1
2,10,0,1,0,1,0,0,1,0,0,1,1,1,1562,0,1
1,30,0,1,0,1,0,0,1,0,0,1,1,1,1562,0,1
1,30,0,1,0,1,0,0,1,0,0,1,1,1,1562,0,1
1,10,0,1,0,1,0,0,1,0,0,1,1,1,1562,0,1
2,10,5,0,0,0,0,0,1,0,1,1,1,1,2885,1629,2
2,10,0,0,0,0,0,0,1,0,1,1,1,1,2885,0,2
2,0,9,0,0,0,0,0,0,0,0,9,1,1,1256,1256,1
0,90,0,0,0,0,0,0,0,0,0,9,1,1,1256,0,1
1,10,0,0,0,0,0,0,0,0,0,9,1,1,1256,0,1
1,10,0,0,0,0,0,0,0,0,0,9,1,1,1256,0,1
4,20,9,0,0,0,0,1,0,0,0,2,1,1,1256,1256,1
1,20,0,0,0,0,0,1,0,0,0,2,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,0,2,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,0,2,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,0,2,1,1,1256,0,1
2,0,8,0,0,0,0,1,0,0,1,1,1,1,1662,1662,1
2,0,0,0,0,0,0,1,0,0,1,1,1,1,1662,0,1
1,20,0,0,0,0,0,1,0,0,1,1,1,1,1662,0,1
3,10,7,0,1,1,1,1,1,0,1,1,1,1,10569,1692,0
2,20,7,0,1,1,1,1,1,0,1,1,1,1,10569,1692,0
1,30,7,0,1,1,1,1,1,0,1,1,1,1,10569,1692,0
2,30,7,0,1,1,1,1,1,0,1,1,1,1,10569,1692,0
2,30,4,0,1,1,1,1,1,0,1,1,1,1,10569,2109,0
2,20,7,0,1,1,1,1,1,0,1,1,1,1,10569,1692,0
3,90,0,0,0,0,0,1,0,0,0,1,1,1,3124,0,2
1,90,0,0,0,0,0,1,0,0,0,1,1,1,3124,0,2
1,0,6,0,0,0,0,1,0,0,0,1,1,1,3124,1562,2
1,0,6,0,0,0,0,1,0,0,0,1,1,1,3124,1562,2
2,70,3,0,0,0,1,1,0,0,1,1,1,1,3054,3054,2
2,30,0,0,0,0,1,1,0,0,1,1,1,1,3054,0,2
1,10,0,0,0,0,1,1,0,0,1,1,1,1,3054,0,2
0,10,0,0,0,0,1,1,0,0,1,1,1,1,3054,0,2
0,10,0,0,0,0,1,1,0,0,1,1,1,1,3054,0,2
3,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
1,20,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2,10,9,0,0,0,0,0,1,0,0,1,1,1,1256,1256,1
2,20,0,0,0,0,0,0,1,0,0,1,1,1,1256,0,1
1,30,0,0,0,0,0,0,1,0,0,1,1,1,1256,0,1
1,20,0,0,0,0,0,0,1,0,0,1,1,1,1256,0,1
3,90,0,0,0,0,0,0,1,0,0,1,1,1,1256,0,1
2,0,7,0,0,0,0,1,1,0,0,1,1,1,29101,1692,0
2,0,7,0,0,0,0,1,1,0,0,1,1,1,29101,1692,0
1,10,0,0,0,0,0,1,1,0,0,1,1,1,29101,0,0
2,0,6,0,0,0,0,1,1,0,0,1,1,1,29101,1562,0
0,90,0,0,0,0,0,1,1,0,0,1,1,1,29101,0,0
1,40,7,0,0,0,0,1,1,0,0,1,1,1,29101,1692,0
2,0,6,0,0,0,0,1,1,0,0,1,1,1,29101,1562,0
1,20,0,0,0,0,0,1,1,0,0,1,1,1,29101,0,0
1,10,0,0,0,0,0,1,1,0,0,1,1,1,29101,0,0
2,10,9,1,0,0,0,0,0,0,0,1,1,1,8223,1256,0
2,10,0,1,0,0,0,0,0,0,0,1,1,1,8223,0,0
2,90,0,0,0,0,0,0,0,0,0,2,1,1,6967,0,0
2,90,0,0,0,0,0,0,0,0,0,2,1,1,6967,0,0
3,90,0,0,0,0,0,0,0,0,0,2,1,1,13215,0,0
1,10,0,0,0,0,0,0,0,0,0,2,1,1,13215,0,0
2,0,6,0,0,0,0,0,0,0,0,2,1,1,13215,1562,0
2,0,6,0,0,0,0,0,0,0,0,2,1,1,13215,1562,0
1,10,0,0,0,0,0,0,0,0,0,2,1,1,13215,0,0
2,0,6,0,0,0,0,0,0,0,0,2,1,1,13215,1562,0
2,0,6,0,0,0,0,0,0,0,0,2,1,1,13215,1562,0
2,30,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
2,20,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
1,30,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
1,20,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
0,10,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
